"UNION","ISO_TER1","MRGID_EEZ","habitat","total","all_mpas","world_area","global_fraction","LPHPI","GPHPI","Target_analysis"
"Estonia","EST",5675,"coldcorals",0,0,15343,0,NA,NA,NA
"Mayotte","MYT",48944,"coldcorals",2,2,15343,0.00013037558374627,1,0.00013037558374627,9.12629086223892e-05
"Cameroon","CMR",8475,"coldcorals",0,0,15343,0,NA,NA,NA
"Finland","FIN",5676,"coldcorals",0,0,15343,0,NA,NA,NA
"Bassas da India","ATF",8340,"coldcorals",0,0,15343,0,NA,NA,NA
"Faeroe","FRO",8435,"coldcorals",285,0,15343,0.0185785206838435,0,0,-0.00557355620515305
"Gilbert Islands","KIR",8488,"coldcorals",1,0,15343,6.51877918731351e-05,0,0,-1.95563375619405e-05
"Nigeria","NGA",8474,"coldcorals",9,0,15343,0.000586690126858216,0,0,-0.000176007038057465
"Pakistan","PAK",8359,"coldcorals",0,0,15343,0,NA,NA,NA
"Syria","SYR",8373,"coldcorals",0,0,15343,0,NA,NA,NA
"Philippines","PHL",8322,"coldcorals",175,7,15343,0.0114078635777986,0.04,0.000456314543111946,-0.00296604453022765
"Bahrain","BHR",8358,"coldcorals",0,0,15343,0,NA,NA,NA
"British Virgin Islands","VGB",8411,"coldcorals",8,0,15343,0.000521502334985081,0,0,-0.000156450700495524
"Cuba","CUB",8406,"coldcorals",56.7855339050293,0,15343,0.00370172356560591,0,0,-0.00111051706968177
"Johnston Atoll","UMI",8452,"coldcorals",8,8,15343,0.000521502334985081,1,0.000521502334985081,0.000365051634489557
"Guyana","GUY",8460,"coldcorals",17,0,15343,0.0011081924618433,0,0,-0.000332457738552989
"Seychelles","SYC",8337,"coldcorals",4,0,15343,0.00026075116749254,0,0,-7.82253502477621e-05
"Phoenix Group","KIR",8450,"coldcorals",0,0,15343,0,NA,NA,NA
"Equatorial Guinea","GNQ",8398,"coldcorals",4,3,15343,0.00026075116749254,0.75,0.000195563375619405,0.000117338025371643
"Vietnam","VNM",8484,"coldcorals",1,0,15343,6.51877918731351e-05,0,0,-1.95563375619405e-05
"Matthew and Hunter Islands",NA,48948,"coldcorals",0,0,15343,0,NA,NA,NA
"Panama","PAN",8423,"coldcorals",33,0,15343,0.00215119713181346,0,0,-0.000645359139544038
"Tromelin Island",NA,48946,"coldcorals",0,0,15343,0,NA,NA,NA
"Gabon","GAB",8476,"coldcorals",0,0,15343,0,NA,NA,NA
"Sao Tome and Principe","STP",8397,"coldcorals",1,0,15343,6.51877918731351e-05,0,0,-1.95563375619405e-05
"North Korea","PRK",8328,"coldcorals",0,0,15343,0,NA,NA,NA
"Saba","BES",26518,"coldcorals",8,8,15343,0.000521502334985081,1,0.000521502334985081,0.000365051634489557
"Northern Mariana Islands","MNP",48980,"coldcorals",0,0,15343,0,NA,NA,NA
"Kuril Islands",NA,48950,"coldcorals",0.974877178668976,0,15343,6.35500906249424e-05,0,0,-1.90650271874827e-05
"Senegal","SEN",8371,"coldcorals",4,0,15343,0.00026075116749254,0,0,-7.82253502477621e-05
"Jordan","JOR",8491,"coldcorals",0,0,15343,0,NA,NA,NA
"Saudi Arabia","SAU",8356,"coldcorals",7,0,15343,0.000456314543111946,0,0,-0.000136894362933584
"Serranilla Bank",NA,48984,"coldcorals",0,0,15343,0,NA,NA,NA
"French Guiana","GUF",8462,"coldcorals",6,0,15343,0.000391126751238811,0,0,-0.000117338025371643
"Senkaku Islands",NA,48954,"coldcorals",0,0,15343,0,NA,NA,NA
"Hawaii",NA,8453,"coldcorals",461,215,15343,0.0300515720535153,0.466377440347072,0.0140153752527241,0.00499990363666947
"Iran","IRN",8469,"coldcorals",0,0,15343,0,NA,NA,NA
"Crozet Islands","ATF",8385,"coldcorals",4,4,15343,0.00026075116749254,1,0.00026075116749254,0.000182525817244778
"Georgia","GEO",5678,"coldcorals",0,0,15343,0,NA,NA,NA
"Guinea-Bissau","GNB",8471,"coldcorals",1,0,15343,6.51877918731351e-05,0,0,-1.95563375619405e-05
"Turks and Caicos Islands","TCA",8405,"coldcorals",3,0,15343,0.000195563375619405,0,0,-5.86690126858216e-05
"Mauritania","MRT",8369,"coldcorals",37,0,15343,0.002411948299306,0,0,-0.0007235844897918
"Micronesia","FSM",8316,"coldcorals",2,0,15343,0.00013037558374627,0,0,-3.91126751238811e-05
"New Caledonia","NCL",8312,"coldcorals",70,63,15343,0.00456314543111946,0.9,0.00410683088800751,0.00273788725867168
"Mexico","MEX",8429,"coldcorals",117.761978149414,47,15343,0.00767664332217269,0.399110143516504,0.00306382621803735,0.000760833221385545
"Portugal","PRT",5688,"coldcorals",129.411056518555,45,15343,0.00843602101841409,0.347729175625329,0.00293345063429108,0.000402644328766853
"Wallis and Futuna","WLF",8454,"coldcorals",32,0,15343,0.00208600933994032,0,0,-0.000625802801982097
"Macquarie Island",NA,8311,"coldcorals",43,13,15343,0.00280307505054481,0.302325581395349,0.000847441294350757,6.51877918731347e-06
"Saint Kitts and Nevis","KNA",8413,"coldcorals",7,0,15343,0.000456314543111946,0,0,-0.000136894362933584
"United Arab Emirates","ARE",8360,"coldcorals",0,0,15343,0,NA,NA,NA
"Saint Helena","SHN",8380,"coldcorals",1,0,15343,6.51877918731351e-05,0,0,-1.95563375619405e-05
"United Kingdom","GBR",5696,"coldcorals",354.618957519531,206.932235717773,15343,0.0231168267970513,0.583534047827593,0.0134894555138127,0.00655440747469733
"Uruguay","URY",8467,"coldcorals",23,0,15343,0.00149931921308211,0,0,-0.000449795763924632
