"UNION","MRGID_EEZ","ISO_TER1","G_Hs_P_I","L_Hs_P_I","T_Hs_I"
"Abu musa, Greater and Lesser Tunb",48947,"ARE",0,0,-1.50002738407927e-06
"Alaska",8463,NA,0.000823073436153369,0.302219974004247,-0.00128650844808844
"Albania",5670,"ALB",6.36791995242914e-05,0.270500709040881,-9.31824100933696e-06
"Algeria",8378,"DZA",2.57896383088309e-05,0.260129576179955,-0.000182869557922779
"American Samoa",8444,"ASM",4.69606241958572e-05,0.0802091983646925,-0.000136499243954346
"Amsterdam and Saint Paul Islands",8386,"ATF",0.00103946649083381,0.999581735213294,0.000727447329177546
"Andaman and Nicobar",8333,NA,0,0,-0.00101058204373791
"Angola",8478,"AGO",3.31381506935898e-05,0.0775486808928825,-0.00044026825134586
"Anguilla",8412,"AIA",2.65323720732432e-05,0.187960357922195,-3.1415579319347e-05
"Antarctica",8489,"ATA",0.00482408879853364,0.195439132374157,-0.0029256415047188
"Antigua and Barbuda",8414,"ATG",9.23575523402127e-05,0.365284286973164,8.05456838032864e-06
"Argentina",8466,"ARG",0.00330960921211154,0.21710206347592,0.000303239608322075
"Aruba",26519,"ABW",0,0,-6.76903145700471e-05
"Ascension",8379,"SHN",0.00107952548695643,0.999982903774846,0.000755659776221229
"Australia",8323,"AUS",0.05096296097432,0.459228879081138,0.0250595190517795
"Azores",8361,NA,0.0013421523585962,0.117135097636289,-0.00116472620689568
"Bahamas",8404,"BHS",0.00178802796220495,0.323838856134195,-0.00111422722236105
"Bahrain",8358,"BHR",7.85596886612492e-05,0.248465214097866,-0.000160038724137377
"Bajo Nuevo Bank",48985,NA,0,0,-2.33874799991496e-06
"Bangladesh",8481,"BGD",0.00690080349184358,0.245116700568615,0.00460708139364173
"Barbados",8418,"BRB",8.21584682872346e-07,0.0029587469312649,-0.000108707614993253
"Bassas da India",8340,"ATF",0,0,-5.39230247553666e-05
"Belgium",3293,"BEL",1.21787435950786e-05,0.615134459036898,3.01069324012716e-06
"Belize",8457,"BLZ",0.00207686997798966,0.403397248053588,0.000577276513091884
"Benin",8393,"BEN",1.46985682089164e-05,0.0615340369129195,-0.000321155262216447
"Bermuda",8402,"BMU",2.98690676872919e-09,2.23433729555814e-06,-0.00048733646643073
"Bonaire",26520,"BES",5.33350278777652e-05,0.934005979073244,3.66735311855686e-05
"Bosnia and Herzegovina",22491,"BIH",3.47215620050945e-06,0.051635155850792,-1.69019921228704e-05
"Bouvet",NA,"BVT",2.98690676872919e-07,1,2.09083473811043e-07
"Brazil",8464,"BRA",0.0141832539309216,0.426195224562078,0.00748461182542358
"British Virgin Islands",8411,"VGB",1.24643401826873e-06,0.00461087146353728,-0.000116922008657625
"Brunei",26521,"BRN",0.000164138990753947,0.242785927737028,3.47798358557873e-05
"Bulgaria",5672,"BGR",8.53568347299741e-05,0.157270535920663,3.27801770878333e-06
"Cambodia",8331,"KHM",0.000611135956947422,0.294465126491328,0.000303747477511784
"Cameroon",8475,"CMR",0.00526017900708686,0.425071650165163,0.00303938349569701
"Canada",8493,"CAN",0.0415579730268843,0.203818966157167,0.0165470781301452
"Canary Islands",8364,NA,0.00115773632619407,0.440813762022794,0.000498500143426841
"Cape Verde",8362,"CPV",3.43494278403857e-07,0.00020520250810996,-0.000622323320460714
