"UNION","ISO_TER1","ISO_SOV1","ID","habitat","total","all_mpas","pp_all_mpas","pp_mean_all"
"Estonia","EST","EST",1,"coldcorals",0,0,NA,77.9824561403509
"Estonia","EST","EST",1,"coralreefs",0,0,NA,77.9824561403509
"Estonia","EST","EST",1,"mangroves",0,0,NA,77.9824561403509
"Estonia","EST","EST",1,"saltmarshes",228,196,85.9649122807018,77.9824561403509
"Estonia","EST","EST",1,"seagrasses",10,7,70,77.9824561403509
"Estonia","EST","EST",1,"knolls_seamounts",0,0,NA,77.9824561403509
"Mayotte","MYT","FRA",2,"coldcorals",2,2,100,99.7155790763237
"Mayotte","MYT","FRA",2,"coralreefs",315,314,99.6825396825397,99.7155790763237
"Mayotte","MYT","FRA",2,"mangroves",5,5,100,99.7155790763237
"Mayotte","MYT","FRA",2,"saltmarshes",0,0,NA,99.7155790763237
"Mayotte","MYT","FRA",2,"seagrasses",1477,1463,99.0521327014218,99.7155790763237
"Mayotte","MYT","FRA",2,"knolls_seamounts",2447.83764648438,2444,99.8432229976571,99.7155790763237
"Cameroon","CMR","CMR",4,"coldcorals",0,0,NA,75.1050593375915
"Cameroon","CMR","CMR",4,"coralreefs",0,0,NA,75.1050593375915
"Cameroon","CMR","CMR",4,"mangroves",1891.45690917969,1420.57983398438,75.1050593375915,75.1050593375915
"Cameroon","CMR","CMR",4,"saltmarshes",0,0,NA,75.1050593375915
"Cameroon","CMR","CMR",4,"seagrasses",0,0,NA,75.1050593375915
"Cameroon","CMR","CMR",4,"knolls_seamounts",0,0,NA,75.1050593375915
"Finland","FIN","FIN",5,"coldcorals",0,0,NA,46.4910120659936
"Finland","FIN","FIN",5,"coralreefs",0,0,NA,46.4910120659936
"Finland","FIN","FIN",5,"mangroves",0,0,NA,46.4910120659936
"Finland","FIN","FIN",5,"saltmarshes",131,88,67.175572519084,46.4910120659936
"Finland","FIN","FIN",5,"seagrasses",62,16,25.8064516129032,46.4910120659936
"Finland","FIN","FIN",5,"knolls_seamounts",0,0,NA,46.4910120659936
"Bassas da India","ATF","FRA",6,"coldcorals",0,0,NA,0
"Bassas da India","ATF","FRA",6,"coralreefs",35,0,0,0
"Bassas da India","ATF","FRA",6,"mangroves",0,0,NA,0
"Bassas da India","ATF","FRA",6,"saltmarshes",0,0,NA,0
"Bassas da India","ATF","FRA",6,"seagrasses",0,0,NA,0
"Bassas da India","ATF","FRA",6,"knolls_seamounts",9000.693359375,0,0,0
"Faeroe","FRO","DNK",7,"coldcorals",285,0,0,0.49459685515464
"Faeroe","FRO","DNK",7,"coralreefs",0,0,NA,0.49459685515464
"Faeroe","FRO","DNK",7,"mangroves",0,0,NA,0.49459685515464
"Faeroe","FRO","DNK",7,"saltmarshes",0,0,NA,0.49459685515464
"Faeroe","FRO","DNK",7,"seagrasses",0,0,NA,0.49459685515464
"Faeroe","FRO","DNK",7,"knolls_seamounts",26453.009765625,261.671508789062,0.989193710309279,0.49459685515464
"Gilbert Islands","KIR","KIR",8,"coldcorals",1,0,0,0.0878734622144112
"Gilbert Islands","KIR","KIR",8,"coralreefs",1707,6,0.351493848857645,0.0878734622144112
"Gilbert Islands","KIR","KIR",8,"mangroves",0,0,NA,0.0878734622144112
"Gilbert Islands","KIR","KIR",8,"saltmarshes",0,0,NA,0.0878734622144112
"Gilbert Islands","KIR","KIR",8,"seagrasses",499,0,0,0.0878734622144112
"Gilbert Islands","KIR","KIR",8,"knolls_seamounts",128096.796875,0,0,0.0878734622144112
"Nigeria","NGA","NGA",10,"coldcorals",9,0,0,1.3667841205861
"Nigeria","NGA","NGA",10,"coralreefs",0,0,NA,1.3667841205861
"Nigeria","NGA","NGA",10,"mangroves",6873.41015625,375,5.45580710993963,1.3667841205861
"Nigeria","NGA","NGA",10,"saltmarshes",0,0,NA,1.3667841205861
"Nigeria","NGA","NGA",10,"seagrasses",8826.6142578125,1,0.0113293724047688,1.3667841205861
"Nigeria","NGA","NGA",10,"knolls_seamounts",985,0,0,1.3667841205861
"Pakistan","PAK","PAK",11,"coldcorals",0,0,NA,50.3401360544218
"Pakistan","PAK","PAK",11,"coralreefs",0,0,NA,50.3401360544218
"Pakistan","PAK","PAK",11,"mangroves",637,325,51.0204081632653,50.3401360544218
"Pakistan","PAK","PAK",11,"saltmarshes",3521.26708984375,3521.26708984375,100,50.3401360544218
"Pakistan","PAK","PAK",11,"seagrasses",0,0,NA,50.3401360544218
"Pakistan","PAK","PAK",11,"knolls_seamounts",30126.076171875,0,0,50.3401360544218
"Syria","SYR","SYR",12,"coldcorals",0,0,NA,0
"Syria","SYR","SYR",12,"coralreefs",0,0,NA,0
"Syria","SYR","SYR",12,"mangroves",0,0,NA,0
"Syria","SYR","SYR",12,"saltmarshes",0,0,NA,0
"Syria","SYR","SYR",12,"seagrasses",13,0,0,0
"Syria","SYR","SYR",12,"knolls_seamounts",504.158630371094,0,0,0
"Philippines","PHL","PHL",14,"coldcorals",175,7,4,15.0996943539167
"Philippines","PHL","PHL",14,"coralreefs",13555.421875,2165,15.9714689809313,15.0996943539167
"Philippines","PHL","PHL",14,"mangroves",2731,1094,40.0585865983156,15.0996943539167
"Philippines","PHL","PHL",14,"saltmarshes",2,0,0,15.0996943539167
"Philippines","PHL","PHL",14,"seagrasses",15040,4369,29.0492021276596,15.0996943539167
"Philippines","PHL","PHL",14,"knolls_seamounts",488460.65625,7419.27001953125,1.51890841659394,15.0996943539167
"Bahrain","BHR","BHR",15,"coldcorals",0,0,NA,32.943053924194
"Bahrain","BHR","BHR",15,"coralreefs",212.435974121094,4,1.88292026176315,32.943053924194
"Bahrain","BHR","BHR",15,"mangroves",0,0,NA,32.943053924194
"Bahrain","BHR","BHR",15,"saltmarshes",18.5230712890625,15.5230722427368,83.8039869333271,32.943053924194
"Bahrain","BHR","BHR",15,"seagrasses",542.303833007812,71.2709503173828,13.1422545774918,32.943053924194
"Bahrain","BHR","BHR",15,"knolls_seamounts",0,0,NA,32.943053924194
"British Virgin Islands","VGB","GBR",16,"coldcorals",8,0,0,0.456288072924214
"British Virgin Islands","VGB","GBR",16,"coralreefs",134,0,0,0.456288072924214
"British Virgin Islands","VGB","GBR",16,"mangroves",1,0,0,0.456288072924214
"British Virgin Islands","VGB","GBR",16,"saltmarshes",0,0,NA,0.456288072924214
"British Virgin Islands","VGB","GBR",16,"seagrasses",87.6639175415039,2,2.28144036462107,0.456288072924214
"British Virgin Islands","VGB","GBR",16,"knolls_seamounts",13548.158203125,0,0,0.456288072924214
"Cuba","CUB","CUB",17,"coldcorals",56.7855339050293,0,0,35.4104880535377
"Cuba","CUB","CUB",17,"coralreefs",2674,739,27.6364996260284,35.4104880535377
