"Name","pixel_counts","ID","area_km2","percent_protected"
"ColdCorals_habitat_with_All_mpashabitat",318,1,318,20.8935611038108
"ColdCorals_habitat_with_Managed_mpashabitat",115,1,115,7.55584756898817
"ColdCorals_habitat_with_No_take_mpashabitat",15,1,15,0.985545335085414
"ColdCorals_habitat",1522,1,1522,100
"CoralReefs_habitat_with_All_mpashabitat",0,2,0,NA
"CoralReefs_habitat_with_Managed_mpashabitat",0,2,0,NA
"CoralReefs_habitat_with_No_take_mpashabitat",0,2,0,NA
"CoralReefs_habitat",0,2,0,NA
"Kelp UNEP_habitat_with_All_mpashabitat",0,3,0,NA
"Kelp UNEP_habitat_with_Managed_mpashabitat",0,3,0,NA
"Kelp UNEP_habitat_with_No_take_mpashabitat",0,3,0,NA
"Kelp UNEP_habitat",0,3,0,NA
"KnollsSeamounts_habitat_with_All_mpashabitat",542072,4,542072,0.611445189313367
"KnollsSeamounts_habitat_with_Managed_mpashabitat",208373,4,208373,0.23504012093005
"KnollsSeamounts_habitat_with_No_take_mpashabitat",115201,4,115201,0.129944172091695
"KnollsSeamounts_habitat",88654226,4,88654226,100
"Mangroves_v2_habitat_with_All_mpashabitat",0,5,0,NA
"Mangroves_v2_habitat_with_Managed_mpashabitat",0,5,0,NA
"Mangroves_v2_habitat_with_No_take_mpashabitat",0,5,0,NA
"Mangroves_v2_habitat",0,5,0,NA
"Saltmarshes_habitat_with_All_mpashabitat",0,6,0,NA
"Saltmarshes_habitat_with_Managed_mpashabitat",0,6,0,NA
"Saltmarshes_habitat_with_No_take_mpashabitat",0,6,0,NA
"Saltmarshes_habitat",0,6,0,NA
"Seagrasses_habitat_with_All_mpashabitat",0,7,0,0
"Seagrasses_habitat_with_Managed_mpashabitat",0,7,0,0
"Seagrasses_habitat_with_No_take_mpashabitat",0,7,0,0
"Seagrasses_habitat",6332,7,6332,100
