"Name","pixel_counts","ID","area_km2","percent_protected"
"ColdCorals_habitat_with_All_mpashabitat",4414,1,4414,28.7688196571726
"ColdCorals_habitat_with_Managed_mpashabitat",2799,1,2799,18.2428469008668
"ColdCorals_habitat_with_No_take_mpashabitat",407,1,407,2.65267548719286
"ColdCorals_habitat",15343,1,15343,100
"CoralReefs_habitat_with_All_mpashabitat",64059,2,64059,42.7772954924875
"CoralReefs_habitat_with_Managed_mpashabitat",10345,2,10345,6.90818030050084
"CoralReefs_habitat_with_No_take_mpashabitat",14544,2,14544,9.71218697829716
"CoralReefs_habitat",149750,2,149750,100
"KnollsSeamounts_habitat_with_All_mpashabitat",5933002,3,5933002,8.13851308387279
"KnollsSeamounts_habitat_with_Managed_mpashabitat",1728845,3,1728845,2.37151911502609
"KnollsSeamounts_habitat_with_No_take_mpashabitat",981433,3,981433,1.34626708560768
"KnollsSeamounts_habitat",72900319,3,72900319,100
"Mangroves_v2_habitat_with_All_mpashabitat",58220,4,58220,42.7299616149606
"Mangroves_v2_habitat_with_Managed_mpashabitat",16846,4,16846,12.3639459526903
"Mangroves_v2_habitat_with_No_take_mpashabitat",1408,4,1408,1.03338691092175
"Mangroves_v2_habitat",136251,4,136251,100
"Saltmarshes_habitat_with_All_mpashabitat",99005,5,99005,44.0890286207956
"Saltmarshes_habitat_with_Managed_mpashabitat",45349,5,45349,20.1948725713293
"Saltmarshes_habitat_with_No_take_mpashabitat",331,5,331,0.147401327947915
"Saltmarshes_habitat",224557,5,224557,100
"Seagrasses_habitat_with_All_mpashabitat",88895,6,88895,27.6163197087231
"Seagrasses_habitat_with_Managed_mpashabitat",28657,6,28657,8.90264777426039
"Seagrasses_habitat_with_No_take_mpashabitat",5603,6,5603,1.74064052340374
"Seagrasses_habitat",321893,6,321893,100
