"","Name","pixel_counts","ID","percent_protected","area_km2"
"1","ColdCorals_Pt_v5",11446,1,100,11446
"2","ColdCorals_Pt_v5_with_All_mpas",2759,1,24.1044906517561,2759
"3","ColdCorals_Pt_v5_with_Managed_mpas",1283,1,11.2091560370435,1283
"4","ColdCorals_Pt_v5_with_No_take_mpas",239,1,2.08806569980779,239
"5","CoralReef2018_Py_v4",150385,2,100,150385
"6","CoralReef2018_Py_v4_with_All_mpas",61080,2,40.6157529008877,61080
"7","CoralReef2018_Py_v4_with_Managed_mpas",8389,2,5.5783489044785,8389
"8","CoralReef2018_Py_v4_with_No_take_mpas",11502,2,7.64836918575656,11502
"9","Mangroves_v2",136436,3,100,136436
"10","Mangroves_v2_with_All_mpas",35451,3,25.9836113635697,35451
"11","Mangroves_v2_with_Managed_mpas",8608,3,6.30918525902255,8608
"12","Mangroves_v2_with_No_take_mpas",2304,3,1.68870386115102,2304
"13","Saltmarshes_Py_v6",54558,4,100,54558
"14","Saltmarshes_Py_v6_with_All_mpas",10641,4,19.5040140767623,10641
"15","Saltmarshes_Py_v6_with_Managed_mpas",3782,4,6.93207229003996,3782
"16","Saltmarshes_Py_v6_with_No_take_mpas",97,4,0.177792441071887,97
"17","Seagrasses-Py-v7",315550,5,100,315550
"18","Seagrasses-Py-v7_with_All_mpas",69099,5,21.8979559499287,69099
"19","Seagrasses-Py-v7_with_Managed_mpas",21355,5,6.76754872444937,21355
"20","Seagrasses-Py-v7_with_No_take_mpas",4962,5,1.57249247345904,4962
