"Jurisdiction","GHPI","LHPI","Targeted GHPI"
"Abu musa, Greater and Lesser Tunb",0,0,-2.01079124635544e-06
"Alaska",0.00082776914722684,0.302464109853324,-0.00138591240532174
"Albania",7.85016712535665e-05,0.316091954022989,-4.46182528170434e-06
"Algeria",1.11330803897469e-06,0.25,-2.87365912027131e-05
"American Samoa",4.83756154073228e-05,0.0798251145797578,-0.000143280686359545
"Amsterdam and Saint Paul Islands",0.00137130861667009,0.999553339770495,0.000959635627831453
"Andaman and Nicobar",0,0,-0.00101206689722653
"Angola",2.97995043108491e-06,0.0675355704697986,-0.000308855032263581
"Anguilla",2.64717488958801e-05,0.187771979444688,-3.27007185625991e-05
"Antarctica",0.00473200193385574,0.227495657226953,-0.00107860210226452
"Antigua and Barbuda",9.23460654709455e-05,0.365175781009903,6.45955290021734e-06
"Argentina",0.00324690026254731,0.375863387567353,0.000654774767614317
"Aruba",0,0,-6.36103164442504e-05
"Ascension",0.00155587586854777,1,0.00108911310798344
"Australia",0.0503680324463154,0.505639708576035,0.0253917233200575
"Azores",0.00141746377596291,0.118869830028797,-0.00159501201431001
"Bahamas",0.00179159286155072,0.334590108336692,-0.00110184975969879
"Bahrain",0.000104738286463616,0.327894246447706,-0.000213158159729197
"Bajo Nuevo Bank",0,0,-4.83284261287224e-06
"Bangladesh",0.00689352738695496,0.229141253964382,0.0046334902382599
"Barbados",7.87090045959309e-07,0.00289844296627603,-0.000100371152502915
"Bassas da India",0,0,-5.3744983123443e-05
"Belgium",1.33596964676963e-05,1,9.35178752738738e-06
"Belize",0.00207498621151775,0.383514203246828,0.00057525814536736
"Benin",0,0,-0.000423918216422937
"Bermuda",0,0,-0.000507151619218574
"Bonaire",5.05999839435798e-05,0.929907084785134,3.47563537892945e-05
"Bosnia and Herzegovina",4.45323215589875e-06,0.05,-2.22661607794938e-05
"Bouvet",6.87264307860102e-07,1,4.81085015502071e-07
"Brazil",0.0136598523606467,0.467218636027208,0.00768549840003009
"British Virgin Islands",1.24284973014625e-06,0.00459770114942529,-0.000111765796171807
"Brunei",0.000161494195403839,0.220212246630585,3.09106480964855e-05
"Bulgaria",0,0,-1.33596964676963e-06
"Cambodia",0.000720018390497495,0.276800821851583,0.000371854170795506
"Cameroon",0.0104292812529816,0.751057082452431,0.00626344026832831
"Canada",0.0418930312883519,0.30751212796581,0.0178287239970293
"Canary Islands",0.0011608691352406,0.447831629329612,0.000500376609390858
"Cape Verde",0,0,-0.000462537693376998
