UNION,ISO,GDP_last
Aruba,ABW,3056424581
Afghanistan,AFG,19291104008
Angola,AGO,88815697793
Albania,ALB,15279183290
Andorra,AND,3154057987
Arab World,ARB,2.81741E+12
United Arab Emirates,ARE,4.21142E+11
Argentina,ARG,4.45445E+11
Armenia,ARM,13672802158
American Samoa,ASM,636000000
Antigua and Barbuda,ATG,1661962963
Australia,AUS,1.39657E+12
Austria,AUT,4.45075E+11
Azerbaijan,AZE,48047647059
Burundi,BDI,3012334882
Belgium,BEL,5.33097E+11
Benin,BEN,14390709095
Burkina Faso,BFA,15990803570
Bangladesh,BGD,3.02571E+11
Bulgaria,BGR,68558815112
Bahrain,BHR,38574069149
"Bahamas, The",BHS,13578800000
Bosnia and Herzegovina,BIH,20164193807
Belarus,BLR,63080457023
Belize,BLZ,1879613600
Bermuda,BMU,7484113000
Bolivia,BOL,40895322844
Brazil,BRA,1.83976E+12
Barbados,BRB,5209000000
Brunei Darussalam,BRN,13469422959
Bhutan,BTN,2530547158
Botswana,BWA,18340480936
Central African Republic,CAF,2220307369
Canada,CAN,1.73643E+12
Central Europe and the Baltics,CEB,1.66885E+12
Switzerland,CHE,7.03082E+11
Channel Islands,CHI,11514605842
Chile,CHL,2.82318E+11
China,CHN,1.43429E+13
Cote d'Ivoire,CIV,58539424930
Cameroon,CMR,39007354359
"Congo, Dem. Rep.",COD,50400746171
"Congo, Rep.",COG,12267392147
Colombia,COL,3.23616E+11
Comoros,COM,1165839927
Cabo Verde,CPV,1981845740
Costa Rica,CRI,61801385049
Caribbean small states,CSS,77721714918
Cuba,CUB,1.00023E+11
Curacao,CUW,3101787709
Cayman Islands,CYM,5517361238
Cyprus,CYP,24948935408
Czech Republic,CZE,2.50681E+11
Germany,DEU,3.86112E+12
Djibouti,DJI,3324634256
Dominica,DMA,582403703.7
Denmark,DNK,3.50104E+11
Dominican Republic,DOM,88941299734
Algeria,DZA,1.71091E+11
East Asia & Pacific (excluding high income),EAP,1.72148E+13
Early-demographic dividend,EAR,1.19899E+13
East Asia & Pacific,EAS,2.69878E+13
Europe & Central Asia (excluding high income),ECA,3.24846E+12
Europe & Central Asia,ECS,2.27928E+13
Ecuador,ECU,1.07436E+11
"Egypt, Arab Rep.",EGY,3.03092E+11
Euro area,EMU,1.33561E+13
Eritrea,ERI,2065001626
Spain,ESP,1.39349E+12
Estonia,EST,31471100656
Ethiopia,ETH,95912590628
European Union,EUU,1.56264E+13
Fragile and conflict affected situations,FCS,1.77846E+12
Finland,FIN,2.69296E+11
Fiji,FJI,5496250694
France,FRA,2.71552E+12
Faroe Islands,FRO,3116887847
"Micronesia, Fed. Sts.",FSM,401932300
Gabon,GAB,16874450215
United Kingdom,GBR,2.82911E+12
Georgia,GEO,17477255546
Ghana,GHA,66983634224
Gibraltar,GIB,
Guinea,GIN,12296665331
"Gambia, The",GMB,1826073740
Guinea-Bissau,GNB,1339449165
Equatorial Guinea,GNQ,11026774945
Greece,GRC,2.09853E+11
Grenada,GRD,1210603704
Greenland,GRL,3051626390
Guatemala,GTM,76710355347
Guam,GUM,5920000000
Guyana,GUY,5173759528
High income,HIC,5.51406E+13
"Hong Kong SAR, China",HKG,3.65712E+11
Honduras,HND,25095395475
Heavily indebted poor countries (HIPC),HPC,7.83062E+11
Croatia,HRV,60752588976
Haiti,HTI,14332163266
Hungary,HUN,1.63469E+11
IBRD only,IBD,3.16041E+13
IDA & IBRD total,IBT,3.39172E+13
IDA total,IDA,2.32031E+12
IDA blend,IDB,9.91548E+11
Indonesia,IDN,1.11919E+12
IDA only,IDX,1.33197E+12
Isle of Man,IMN,7491969313
India,IND,2.86893E+12
Not classified,INX,
Ireland,IRL,3.88699E+11
"Iran, Islamic Rep.",IRN,1.24813E+11
Iraq,IRQ,2.34094E+11
Iceland,ISL,24188038474
Israel,ISR,3.94652E+11
Italy,ITA,2.00358E+12
Jamaica,JAM,16458071068
Jordan,JOR,44502895862
Japan,JPN,5.08177E+12
Kazakhstan,KAZ,1.81666E+11
Kenya,KEN,95503088538
Kyrgyz Republic,KGZ,8454619608
Cambodia,KHM,27089389787
Kiribati,KIR,194647201.9
St. Kitts and Nevis,KNA,1053244444
"Korea, Rep.",KOR,1.64674E+12
Kuwait,KWT,1.34629E+11
Latin America & Caribbean (excluding high income),LAC,5.1496E+12
Lao PDR,LAO,18173839147
Lebanon,LBN,51991634492
Liberia,LBR,3070518100
Libya,LBY,52091152228
St. Lucia,LCA,2122450630
Latin America & Caribbean,LCN,5.73377E+12
Least developed countries: UN classification,LDC,1.11524E+12
Low income,LIC,5.41512E+11
Liechtenstein,LIE,6876981286
Sri Lanka,LKA,84008783756
Lower middle income,LMC,6.33493E+12
Low & middle income,LMY,3.27091E+13
Lesotho,LSO,2376328637
Late-demographic dividend,LTE,2.29835E+13
Lithuania,LTU,54627411860
Luxembourg,LUX,71104919108
Latvia,LVA,34102913582
"Macao SAR, China",MAC,53859116536
St. Martin (French part),MAF,
Morocco,MAR,1.197E+11
Monaco,MCO,7188238073
Moldova,MDA,11968713370
Madagascar,MDG,14114631281
Maldives,MDV,5642179170
Middle East & North Africa,MEA,3.64961E+12
Mexico,MEX,1.26887E+12
Marshall Islands,MHL,221278000
Middle income,MIC,3.21533E+13
North Macedonia,MKD,12547040499
Mali,MLI,17279566719
Malta,MLT,14989415684
Myanmar,MMR,76085852617
Middle East & North Africa (excluding high income),MNA,1.52042E+12
Montenegro,MNE,5542577965
Mongolia,MNG,13996719329
Northern Mariana Islands,MNP,1323000000
Mozambique,MOZ,15291448212
Mauritania,MRT,7600656944
Mauritius,MUS,14048430519
Malawi,MWI,7666704427
Malaysia,MYS,3.64681E+11
North America,NAC,2.31771E+13
Namibia,NAM,12366528259
New Caledonia,NCL,2682347064
Niger,NER,12911689659
Nigeria,NGA,4.4812E+11
Nicaragua,NIC,12520915291
Netherlands,NLD,9.07051E+11
Norway,NOR,4.03336E+11
Nepal,NPL,30641380604
Nauru,NRU,118223430.1
New Zealand,NZL,2.06929E+11
OECD members,OED,5.36994E+13
Oman,OMN,76331518669
Other small states,OSS,4.32093E+11
Pakistan,PAK,2.78222E+11
Panama,PAN,66800800000
Peru,PER,2.26848E+11
Philippines,PHL,3.76796E+11
Palau,PLW,268354919.4
Papua New Guinea,PNG,24829107011
Poland,POL,5.95858E+11
Pre-demographic dividend,PRE,1.40379E+12
Puerto Rico,PRI,1.04989E+11
"Korea, Dem. People’s Rep.",PRK,
Portugal,PRT,2.38785E+11
Paraguay,PRY,38145288940
West Bank and Gaza,PSE,16276600000
Pacific island small states,PSS,10634784073
Post-demographic dividend,PST,5.07699E+13
French Polynesia,PYF,3447543138
Qatar,QAT,1.75838E+11
Romania,ROU,2.50077E+11
Russian Federation,RUS,1.69988E+12
Rwanda,RWA,10354417725
South Asia,SAS,3.59184E+12
Saudi Arabia,SAU,7.92967E+11
Sudan,SDN,30513456085
Senegal,SEN,23578084052
Singapore,SGP,3.72063E+11
Solomon Islands,SLB,1589913622
Sierra Leone,SLE,4121733705
El Salvador,SLV,27022640000
San Marino,SMR,1655300873
Somalia,SOM,917044228
Serbia,SRB,51475016532
Sub-Saharan Africa (excluding high income),SSA,1.75118E+12
South Sudan,SSD,11997800760
Sub-Saharan Africa,SSF,1.76694E+12
Small states,SST,5.20457E+11
Sao Tome and Principe,STP,418637389
Suriname,SUR,3697371950
Slovak Republic,SVK,1.0508E+11
Slovenia,SVN,54174227309
Sweden,SWE,5.30884E+11
Eswatini,SWZ,4471598727
Sint Maarten (Dutch part),SXM,1185474860
Seychelles,SYC,1703387387
Syrian Arab Republic,SYR,40405006007
Turks and Caicos Islands,TCA,1197415000
Chad,TCD,11314951343
East Asia & Pacific (IDA & IBRD countries),TEA,1.71819E+13
Europe & Central Asia (IDA & IBRD countries),TEC,4.15516E+12
Togo,TGO,5490272413
Thailand,THA,5.43549E+11
Tajikistan,TJK,8116626794
Turkmenistan,TKM,40761142857
Latin America & the Caribbean (IDA & IBRD countries),TLA,5.48796E+12
Timor-Leste,TLS,2017924900
Middle East & North Africa (IDA & IBRD countries),TMN,1.50387E+12
Tonga,TON,512350059.4
South Asia (IDA & IBRD),TSA,3.59184E+12
Sub-Saharan Africa (IDA & IBRD countries),TSS,1.76694E+12
Trinidad and Tobago,TTO,24269714810
Tunisia,TUN,38796687568
Turkey,TUR,7.61425E+11
Tuvalu,TUV,47271463.33
Tanzania,TZA,63177068175
Uganda,UGA,35165157017
Ukraine,UKR,1.53781E+11
Upper middle income,UMC,2.58078E+13
Uruguay,URY,56045912953
United States,USA,2.14332E+13
Uzbekistan,UZB,57921286440
St. Vincent and the Grenadines,VCT,824718518.5
"Venezuela, RB",VEN,4.82359E+11
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,3855000000
Vietnam,VNM,2.61921E+11
Vanuatu,VUT,934239973.8
World,WLD,8.77985E+13
Samoa,WSM,852250191
Kosovo,XKX,7926133714
"Yemen, Rep.",YEM,22581081994
South Africa,ZAF,3.51432E+11
Zambia,ZMB,23309773923
Zimbabwe,ZWE,21440758800
