"ID","category","pixel_counts","group","percent_protected","UNION","ISO_TER1","ISO_SOV1"
1,"ColdCorals_Pt_v5",0,1,NA,"Estonia","EST","EST"
1,"ColdCorals_Pt_v5_with_All_mpas",0,1,NA,"Estonia","EST","EST"
1,"ColdCorals_Pt_v5_with_Managed_mpas",0,1,NA,"Estonia","EST","EST"
1,"ColdCorals_Pt_v5_with_No_take_mpas",0,1,NA,"Estonia","EST","EST"
1,"CoralReef2018_Py_v4",0,2,NA,"Estonia","EST","EST"
1,"CoralReef2018_Py_v4_with_All_mpas",0,2,NA,"Estonia","EST","EST"
1,"CoralReef2018_Py_v4_with_Managed_mpas",0,2,NA,"Estonia","EST","EST"
1,"CoralReef2018_Py_v4_with_No_take_mpas",0,2,NA,"Estonia","EST","EST"
1,"Mangroves_v2",0,3,NA,"Estonia","EST","EST"
1,"Mangroves_v2_with_All_mpas",0,3,NA,"Estonia","EST","EST"
1,"Mangroves_v2_with_Managed_mpas",0,3,NA,"Estonia","EST","EST"
1,"Mangroves_v2_with_No_take_mpas",0,3,NA,"Estonia","EST","EST"
1,"Saltmarshes_Py_v6",6,4,100,"Estonia","EST","EST"
1,"Saltmarshes_Py_v6_with_All_mpas",6,4,100,"Estonia","EST","EST"
1,"Saltmarshes_Py_v6_with_Managed_mpas",6,4,100,"Estonia","EST","EST"
1,"Saltmarshes_Py_v6_with_No_take_mpas",0,4,0,"Estonia","EST","EST"
1,"Seagrasses.Py.v7",0,5,NA,"Estonia","EST","EST"
1,"Seagrasses.Py.v7_with_All_mpas",0,5,NA,"Estonia","EST","EST"
1,"Seagrasses.Py.v7_with_Managed_mpas",0,5,NA,"Estonia","EST","EST"
1,"Seagrasses.Py.v7_with_No_take_mpas",0,5,NA,"Estonia","EST","EST"
2,"ColdCorals_Pt_v5",2,6,100,"Mayotte","MYT","FRA"
2,"ColdCorals_Pt_v5_with_All_mpas",2,6,100,"Mayotte","MYT","FRA"
2,"ColdCorals_Pt_v5_with_Managed_mpas",0,6,0,"Mayotte","MYT","FRA"
2,"ColdCorals_Pt_v5_with_No_take_mpas",0,6,0,"Mayotte","MYT","FRA"
2,"CoralReef2018_Py_v4",314,7,100,"Mayotte","MYT","FRA"
2,"CoralReef2018_Py_v4_with_All_mpas",312,7,99.3630573248408,"Mayotte","MYT","FRA"
2,"CoralReef2018_Py_v4_with_Managed_mpas",0,7,0,"Mayotte","MYT","FRA"
2,"CoralReef2018_Py_v4_with_No_take_mpas",0,7,0,"Mayotte","MYT","FRA"
2,"Mangroves_v2",6,8,100,"Mayotte","MYT","FRA"
2,"Mangroves_v2_with_All_mpas",6,8,100,"Mayotte","MYT","FRA"
2,"Mangroves_v2_with_Managed_mpas",0,8,0,"Mayotte","MYT","FRA"
2,"Mangroves_v2_with_No_take_mpas",0,8,0,"Mayotte","MYT","FRA"
2,"Saltmarshes_Py_v6",0,9,NA,"Mayotte","MYT","FRA"
2,"Saltmarshes_Py_v6_with_All_mpas",0,9,NA,"Mayotte","MYT","FRA"
2,"Saltmarshes_Py_v6_with_Managed_mpas",0,9,NA,"Mayotte","MYT","FRA"
2,"Saltmarshes_Py_v6_with_No_take_mpas",0,9,NA,"Mayotte","MYT","FRA"
2,"Seagrasses.Py.v7",1499,10,100,"Mayotte","MYT","FRA"
2,"Seagrasses.Py.v7_with_All_mpas",1486,10,99.1327551701134,"Mayotte","MYT","FRA"
2,"Seagrasses.Py.v7_with_Managed_mpas",1,10,0.066711140760507,"Mayotte","MYT","FRA"
2,"Seagrasses.Py.v7_with_No_take_mpas",0,10,0,"Mayotte","MYT","FRA"
3,"ColdCorals_Pt_v5",0,11,NA,"Overlapping claim Qatar / Saudi Arabia / United Arab Emirates","QAT","QAT"
3,"ColdCorals_Pt_v5_with_All_mpas",0,11,NA,"Overlapping claim Qatar / Saudi Arabia / United Arab Emirates","QAT","QAT"
3,"ColdCorals_Pt_v5_with_Managed_mpas",0,11,NA,"Overlapping claim Qatar / Saudi Arabia / United Arab Emirates","QAT","QAT"
3,"ColdCorals_Pt_v5_with_No_take_mpas",0,11,NA,"Overlapping claim Qatar / Saudi Arabia / United Arab Emirates","QAT","QAT"
3,"CoralReef2018_Py_v4",0,12,NA,"Overlapping claim Qatar / Saudi Arabia / United Arab Emirates","QAT","QAT"
3,"CoralReef2018_Py_v4_with_All_mpas",0,12,NA,"Overlapping claim Qatar / Saudi Arabia / United Arab Emirates","QAT","QAT"
3,"CoralReef2018_Py_v4_with_Managed_mpas",0,12,NA,"Overlapping claim Qatar / Saudi Arabia / United Arab Emirates","QAT","QAT"
3,"CoralReef2018_Py_v4_with_No_take_mpas",0,12,NA,"Overlapping claim Qatar / Saudi Arabia / United Arab Emirates","QAT","QAT"
3,"Mangroves_v2",0,13,NA,"Overlapping claim Qatar / Saudi Arabia / United Arab Emirates","QAT","QAT"
3,"Mangroves_v2_with_All_mpas",0,13,NA,"Overlapping claim Qatar / Saudi Arabia / United Arab Emirates","QAT","QAT"
3,"Mangroves_v2_with_Managed_mpas",0,13,NA,"Overlapping claim Qatar / Saudi Arabia / United Arab Emirates","QAT","QAT"
3,"Mangroves_v2_with_No_take_mpas",0,13,NA,"Overlapping claim Qatar / Saudi Arabia / United Arab Emirates","QAT","QAT"
3,"Saltmarshes_Py_v6",0,14,NA,"Overlapping claim Qatar / Saudi Arabia / United Arab Emirates","QAT","QAT"
3,"Saltmarshes_Py_v6_with_All_mpas",0,14,NA,"Overlapping claim Qatar / Saudi Arabia / United Arab Emirates","QAT","QAT"
3,"Saltmarshes_Py_v6_with_Managed_mpas",0,14,NA,"Overlapping claim Qatar / Saudi Arabia / United Arab Emirates","QAT","QAT"
3,"Saltmarshes_Py_v6_with_No_take_mpas",0,14,NA,"Overlapping claim Qatar / Saudi Arabia / United Arab Emirates","QAT","QAT"
3,"Seagrasses.Py.v7",0,15,NA,"Overlapping claim Qatar / Saudi Arabia / United Arab Emirates","QAT","QAT"
3,"Seagrasses.Py.v7_with_All_mpas",0,15,NA,"Overlapping claim Qatar / Saudi Arabia / United Arab Emirates","QAT","QAT"
3,"Seagrasses.Py.v7_with_Managed_mpas",0,15,NA,"Overlapping claim Qatar / Saudi Arabia / United Arab Emirates","QAT","QAT"
3,"Seagrasses.Py.v7_with_No_take_mpas",0,15,NA,"Overlapping claim Qatar / Saudi Arabia / United Arab Emirates","QAT","QAT"
4,"ColdCorals_Pt_v5",0,16,NA,"Cameroon","CMR","CMR"
4,"ColdCorals_Pt_v5_with_All_mpas",0,16,NA,"Cameroon","CMR","CMR"
4,"ColdCorals_Pt_v5_with_Managed_mpas",0,16,NA,"Cameroon","CMR","CMR"
4,"ColdCorals_Pt_v5_with_No_take_mpas",0,16,NA,"Cameroon","CMR","CMR"
4,"CoralReef2018_Py_v4",0,17,NA,"Cameroon","CMR","CMR"
4,"CoralReef2018_Py_v4_with_All_mpas",0,17,NA,"Cameroon","CMR","CMR"
4,"CoralReef2018_Py_v4_with_Managed_mpas",0,17,NA,"Cameroon","CMR","CMR"
4,"CoralReef2018_Py_v4_with_No_take_mpas",0,17,NA,"Cameroon","CMR","CMR"
4,"Mangroves_v2",1899,18,100,"Cameroon","CMR","CMR"
4,"Mangroves_v2_with_All_mpas",1451,18,76.4086361242759,"Cameroon","CMR","CMR"
4,"Mangroves_v2_with_Managed_mpas",1,18,0.0526592943654555,"Cameroon","CMR","CMR"
4,"Mangroves_v2_with_No_take_mpas",0,18,0,"Cameroon","CMR","CMR"
4,"Saltmarshes_Py_v6",0,19,NA,"Cameroon","CMR","CMR"
4,"Saltmarshes_Py_v6_with_All_mpas",0,19,NA,"Cameroon","CMR","CMR"
4,"Saltmarshes_Py_v6_with_Managed_mpas",0,19,NA,"Cameroon","CMR","CMR"
4,"Saltmarshes_Py_v6_with_No_take_mpas",0,19,NA,"Cameroon","CMR","CMR"
4,"Seagrasses.Py.v7",0,20,NA,"Cameroon","CMR","CMR"
4,"Seagrasses.Py.v7_with_All_mpas",0,20,NA,"Cameroon","CMR","CMR"
4,"Seagrasses.Py.v7_with_Managed_mpas",0,20,NA,"Cameroon","CMR","CMR"
4,"Seagrasses.Py.v7_with_No_take_mpas",0,20,NA,"Cameroon","CMR","CMR"
5,"ColdCorals_Pt_v5",0,21,NA,"Finland","FIN","FIN"
5,"ColdCorals_Pt_v5_with_All_mpas",0,21,NA,"Finland","FIN","FIN"
5,"ColdCorals_Pt_v5_with_Managed_mpas",0,21,NA,"Finland","FIN","FIN"
5,"ColdCorals_Pt_v5_with_No_take_mpas",0,21,NA,"Finland","FIN","FIN"
5,"CoralReef2018_Py_v4",0,22,NA,"Finland","FIN","FIN"
5,"CoralReef2018_Py_v4_with_All_mpas",0,22,NA,"Finland","FIN","FIN"
5,"CoralReef2018_Py_v4_with_Managed_mpas",0,22,NA,"Finland","FIN","FIN"
5,"CoralReef2018_Py_v4_with_No_take_mpas",0,22,NA,"Finland","FIN","FIN"
5,"Mangroves_v2",0,23,NA,"Finland","FIN","FIN"
5,"Mangroves_v2_with_All_mpas",0,23,NA,"Finland","FIN","FIN"
5,"Mangroves_v2_with_Managed_mpas",0,23,NA,"Finland","FIN","FIN"
5,"Mangroves_v2_with_No_take_mpas",0,23,NA,"Finland","FIN","FIN"
5,"Saltmarshes_Py_v6",129,24,100,"Finland","FIN","FIN"
5,"Saltmarshes_Py_v6_with_All_mpas",85,24,65.8914728682171,"Finland","FIN","FIN"
5,"Saltmarshes_Py_v6_with_Managed_mpas",20,24,15.5038759689922,"Finland","FIN","FIN"
5,"Saltmarshes_Py_v6_with_No_take_mpas",0,24,0,"Finland","FIN","FIN"
5,"Seagrasses.Py.v7",0,25,NA,"Finland","FIN","FIN"
5,"Seagrasses.Py.v7_with_All_mpas",0,25,NA,"Finland","FIN","FIN"
5,"Seagrasses.Py.v7_with_Managed_mpas",0,25,NA,"Finland","FIN","FIN"
5,"Seagrasses.Py.v7_with_No_take_mpas",0,25,NA,"Finland","FIN","FIN"
6,"ColdCorals_Pt_v5",0,26,NA,"Bassas da India","ATF","FRA"
6,"ColdCorals_Pt_v5_with_All_mpas",0,26,NA,"Bassas da India","ATF","FRA"
6,"ColdCorals_Pt_v5_with_Managed_mpas",0,26,NA,"Bassas da India","ATF","FRA"
6,"ColdCorals_Pt_v5_with_No_take_mpas",0,26,NA,"Bassas da India","ATF","FRA"
6,"CoralReef2018_Py_v4",34,27,100,"Bassas da India","ATF","FRA"
6,"CoralReef2018_Py_v4_with_All_mpas",0,27,0,"Bassas da India","ATF","FRA"
6,"CoralReef2018_Py_v4_with_Managed_mpas",0,27,0,"Bassas da India","ATF","FRA"
6,"CoralReef2018_Py_v4_with_No_take_mpas",0,27,0,"Bassas da India","ATF","FRA"
6,"Mangroves_v2",0,28,NA,"Bassas da India","ATF","FRA"
6,"Mangroves_v2_with_All_mpas",0,28,NA,"Bassas da India","ATF","FRA"
6,"Mangroves_v2_with_Managed_mpas",0,28,NA,"Bassas da India","ATF","FRA"
6,"Mangroves_v2_with_No_take_mpas",0,28,NA,"Bassas da India","ATF","FRA"
6,"Saltmarshes_Py_v6",0,29,NA,"Bassas da India","ATF","FRA"
6,"Saltmarshes_Py_v6_with_All_mpas",0,29,NA,"Bassas da India","ATF","FRA"
6,"Saltmarshes_Py_v6_with_Managed_mpas",0,29,NA,"Bassas da India","ATF","FRA"
6,"Saltmarshes_Py_v6_with_No_take_mpas",0,29,NA,"Bassas da India","ATF","FRA"
6,"Seagrasses.Py.v7",0,30,NA,"Bassas da India","ATF","FRA"
6,"Seagrasses.Py.v7_with_All_mpas",0,30,NA,"Bassas da India","ATF","FRA"
6,"Seagrasses.Py.v7_with_Managed_mpas",0,30,NA,"Bassas da India","ATF","FRA"
6,"Seagrasses.Py.v7_with_No_take_mpas",0,30,NA,"Bassas da India","ATF","FRA"
