"UNION","ISO_TER1","ISO_SOV1","ID","habitat","total","all_mpas","managed","no_take","pp_all_mpas","pp_managed","pp_no_take"
"Estonia","EST","EST",1,"coldcorals",0,0,0,0,NA,NA,NA
"Estonia","EST","EST",1,"coralreefs",0,0,0,0,NA,NA,NA
"Estonia","EST","EST",1,"mangroves",0,0,0,0,NA,NA,NA
"Estonia","EST","EST",1,"saltmarshes",6,6,6,0,100,100,0
"Estonia","EST","EST",1,"seagrasses",0,0,0,0,NA,NA,NA
"Mayotte","MYT","FRA",2,"coldcorals",2,2,0,0,100,0,0
"Mayotte","MYT","FRA",2,"coralreefs",314,312,0,0,99.3630573248408,0,0
"Mayotte","MYT","FRA",2,"mangroves",6,6,0,0,100,0,0
"Mayotte","MYT","FRA",2,"saltmarshes",0,0,0,0,NA,NA,NA
"Mayotte","MYT","FRA",2,"seagrasses",1499,1486,1,0,99.1327551701134,0.066711140760507,0
"Overlapping claim Qatar / Saudi Arabia / United Arab Emirates","QAT","QAT",3,"coldcorals",0,0,0,0,NA,NA,NA
"Overlapping claim Qatar / Saudi Arabia / United Arab Emirates","QAT","QAT",3,"coralreefs",0,0,0,0,NA,NA,NA
"Overlapping claim Qatar / Saudi Arabia / United Arab Emirates","QAT","QAT",3,"mangroves",0,0,0,0,NA,NA,NA
"Overlapping claim Qatar / Saudi Arabia / United Arab Emirates","QAT","QAT",3,"saltmarshes",0,0,0,0,NA,NA,NA
"Overlapping claim Qatar / Saudi Arabia / United Arab Emirates","QAT","QAT",3,"seagrasses",0,0,0,0,NA,NA,NA
"Cameroon","CMR","CMR",4,"coldcorals",0,0,0,0,NA,NA,NA
"Cameroon","CMR","CMR",4,"coralreefs",0,0,0,0,NA,NA,NA
"Cameroon","CMR","CMR",4,"mangroves",1899,1451,1,0,76.4086361242759,0.0526592943654555,0
"Cameroon","CMR","CMR",4,"saltmarshes",0,0,0,0,NA,NA,NA
"Cameroon","CMR","CMR",4,"seagrasses",0,0,0,0,NA,NA,NA
"Finland","FIN","FIN",5,"coldcorals",0,0,0,0,NA,NA,NA
"Finland","FIN","FIN",5,"coralreefs",0,0,0,0,NA,NA,NA
"Finland","FIN","FIN",5,"mangroves",0,0,0,0,NA,NA,NA
"Finland","FIN","FIN",5,"saltmarshes",129,85,20,0,65.8914728682171,15.5038759689922,0
"Finland","FIN","FIN",5,"seagrasses",0,0,0,0,NA,NA,NA
"Bassas da India","ATF","FRA",6,"coldcorals",0,0,0,0,NA,NA,NA
"Bassas da India","ATF","FRA",6,"coralreefs",34,0,0,0,0,0,0
"Bassas da India","ATF","FRA",6,"mangroves",0,0,0,0,NA,NA,NA
"Bassas da India","ATF","FRA",6,"saltmarshes",0,0,0,0,NA,NA,NA
"Bassas da India","ATF","FRA",6,"seagrasses",0,0,0,0,NA,NA,NA
"Faeroe","FRO","DNK",7,"coldcorals",273,0,0,0,0,0,0
"Faeroe","FRO","DNK",7,"coralreefs",0,0,0,0,NA,NA,NA
"Faeroe","FRO","DNK",7,"mangroves",0,0,0,0,NA,NA,NA
"Faeroe","FRO","DNK",7,"saltmarshes",0,0,0,0,NA,NA,NA
"Faeroe","FRO","DNK",7,"seagrasses",0,0,0,0,NA,NA,NA
"Gilbert Islands","KIR","KIR",8,"coldcorals",1,0,0,0,0,0,0
"Gilbert Islands","KIR","KIR",8,"coralreefs",1702,0,0,0,0,0,0
"Gilbert Islands","KIR","KIR",8,"mangroves",0,0,0,0,NA,NA,NA
"Gilbert Islands","KIR","KIR",8,"saltmarshes",0,0,0,0,NA,NA,NA
"Gilbert Islands","KIR","KIR",8,"seagrasses",494,0,0,0,0,0,0
"Overlapping claim: Venezuela / Colombia / Dominican Republic","COL","COL",9,"coldcorals",0,0,0,0,NA,NA,NA
"Overlapping claim: Venezuela / Colombia / Dominican Republic","COL","COL",9,"coralreefs",0,0,0,0,NA,NA,NA
"Overlapping claim: Venezuela / Colombia / Dominican Republic","COL","COL",9,"mangroves",0,0,0,0,NA,NA,NA
"Overlapping claim: Venezuela / Colombia / Dominican Republic","COL","COL",9,"saltmarshes",0,0,0,0,NA,NA,NA
"Overlapping claim: Venezuela / Colombia / Dominican Republic","COL","COL",9,"seagrasses",0,0,0,0,NA,NA,NA
"Nigeria","NGA","NGA",10,"coldcorals",9,0,0,0,0,0,0
"Nigeria","NGA","NGA",10,"coralreefs",0,0,0,0,NA,NA,NA
"Nigeria","NGA","NGA",10,"mangroves",6931,386,0,0,5.56918193622854,0,0
"Nigeria","NGA","NGA",10,"saltmarshes",0,0,0,0,NA,NA,NA
"Nigeria","NGA","NGA",10,"seagrasses",8873,2,0,0,0.0225402907697509,0,0
"Pakistan","PAK","PAK",11,"coldcorals",0,0,0,0,NA,NA,NA
"Pakistan","PAK","PAK",11,"coralreefs",0,0,0,0,NA,NA,NA
"Pakistan","PAK","PAK",11,"mangroves",626,230,0,0,36.741214057508,0,0
"Pakistan","PAK","PAK",11,"saltmarshes",0,0,0,0,NA,NA,NA
"Pakistan","PAK","PAK",11,"seagrasses",0,0,0,0,NA,NA,NA
"Syria","SYR","SYR",12,"coldcorals",0,0,0,0,NA,NA,NA
"Syria","SYR","SYR",12,"coralreefs",0,0,0,0,NA,NA,NA
"Syria","SYR","SYR",12,"mangroves",0,0,0,0,NA,NA,NA
"Syria","SYR","SYR",12,"saltmarshes",0,0,0,0,NA,NA,NA
"Syria","SYR","SYR",12,"seagrasses",0,0,0,0,NA,NA,NA
"Overlapping claim: Kenya / Somalia","KEN","KEN",13,"coldcorals",0,0,0,0,NA,NA,NA
"Overlapping claim: Kenya / Somalia","KEN","KEN",13,"coralreefs",0,0,0,0,NA,NA,NA
"Overlapping claim: Kenya / Somalia","KEN","KEN",13,"mangroves",0,0,0,0,NA,NA,NA
"Overlapping claim: Kenya / Somalia","KEN","KEN",13,"saltmarshes",0,0,0,0,NA,NA,NA
"Overlapping claim: Kenya / Somalia","KEN","KEN",13,"seagrasses",0,0,0,0,NA,NA,NA
"Philippines","PHL","PHL",14,"coldcorals",172,0,0,0,0,0,0
"Philippines","PHL","PHL",14,"coralreefs",13559,867,0,8,6.39427686407552,0,0.0590014012832805
"Philippines","PHL","PHL",14,"mangroves",2692,505,1,0,18.7592867756315,0.037147102526003,0
"Philippines","PHL","PHL",14,"saltmarshes",0,0,0,0,NA,NA,NA
"Philippines","PHL","PHL",14,"seagrasses",15020,2838,11,14,18.8948069241012,0.0732356857523302,0.0932090545938748
"Bahrain","BHR","BHR",15,"coldcorals",0,0,0,0,NA,NA,NA
"Bahrain","BHR","BHR",15,"coralreefs",211,0,0,0,0,0,0
"Bahrain","BHR","BHR",15,"mangroves",0,0,0,0,NA,NA,NA
"Bahrain","BHR","BHR",15,"saltmarshes",0,0,0,0,NA,NA,NA
"Bahrain","BHR","BHR",15,"seagrasses",526,0,0,0,0,0,0
"British Virgin Islands","VGB","GBR",16,"coldcorals",8,0,0,0,0,0,0
"British Virgin Islands","VGB","GBR",16,"coralreefs",139,0,0,0,0,0,0
"British Virgin Islands","VGB","GBR",16,"mangroves",1,0,0,0,0,0,0
"British Virgin Islands","VGB","GBR",16,"saltmarshes",0,0,0,0,NA,NA,NA
"British Virgin Islands","VGB","GBR",16,"seagrasses",44,0,0,0,0,0,0
"Cuba","CUB","CUB",17,"coldcorals",58,0,0,0,0,0,0
"Cuba","CUB","CUB",17,"coralreefs",2633,753,737,0,28.5985567793392,27.990884922142,0
"Cuba","CUB","CUB",17,"mangroves",3373,1739,1577,0,51.5564779128372,46.7536317817966,0
"Cuba","CUB","CUB",17,"saltmarshes",0,0,0,0,NA,NA,NA
"Cuba","CUB","CUB",17,"seagrasses",13963,6054,5874,0,43.3574446752131,42.0683234261978,0
"Johnston Atoll","UMI","USA",18,"coldcorals",8,8,0,0,100,0,0
"Johnston Atoll","UMI","USA",18,"coralreefs",75,75,0,0,100,0,0
"Johnston Atoll","UMI","USA",18,"mangroves",0,0,0,0,NA,NA,NA
"Johnston Atoll","UMI","USA",18,"saltmarshes",0,0,0,0,NA,NA,NA
"Johnston Atoll","UMI","USA",18,"seagrasses",0,0,0,0,NA,NA,NA
"Guyana","GUY","GUY",19,"coldcorals",15,0,0,0,0,0,0
"Guyana","GUY","GUY",19,"coralreefs",0,0,0,0,NA,NA,NA
"Guyana","GUY","GUY",19,"mangroves",257,139,139,0,54.0856031128405,54.0856031128405,0
"Guyana","GUY","GUY",19,"saltmarshes",0,0,0,0,NA,NA,NA
"Guyana","GUY","GUY",19,"seagrasses",0,0,0,0,NA,NA,NA
"Seychelles","SYC","SYC",20,"coldcorals",3,0,0,0,0,0,0
"Seychelles","SYC","SYC",20,"coralreefs",1498,1403,0,150,93.6582109479306,0,10.0133511348465
"Seychelles","SYC","SYC",20,"mangroves",0,0,0,0,NA,NA,NA
"Seychelles","SYC","SYC",20,"saltmarshes",0,0,0,0,NA,NA,NA
"Seychelles","SYC","SYC",20,"seagrasses",0,0,0,0,NA,NA,NA
"Phoenix Group","KIR","KIR",21,"coldcorals",0,0,0,0,NA,NA,NA
"Phoenix Group","KIR","KIR",21,"coralreefs",79,79,0,0,100,0,0
"Phoenix Group","KIR","KIR",21,"mangroves",0,0,0,0,NA,NA,NA
"Phoenix Group","KIR","KIR",21,"saltmarshes",0,0,0,0,NA,NA,NA
"Phoenix Group","KIR","KIR",21,"seagrasses",0,0,0,0,NA,NA,NA
"Overlapping claim South China Sea","CHN","CHN",22,"coldcorals",2,0,0,0,0,0,0
"Overlapping claim South China Sea","CHN","CHN",22,"coralreefs",562,0,0,0,0,0,0
"Overlapping claim South China Sea","CHN","CHN",22,"mangroves",0,0,0,0,NA,NA,NA
"Overlapping claim South China Sea","CHN","CHN",22,"saltmarshes",0,0,0,0,NA,NA,NA
"Overlapping claim South China Sea","CHN","CHN",22,"seagrasses",0,0,0,0,NA,NA,NA
"Equatorial Guinea","GNQ","GNQ",23,"coldcorals",4,3,0,0,75,0,0
"Equatorial Guinea","GNQ","GNQ",23,"coralreefs",0,0,0,0,NA,NA,NA
"Equatorial Guinea","GNQ","GNQ",23,"mangroves",262,202,9,0,77.0992366412214,3.43511450381679,0
"Equatorial Guinea","GNQ","GNQ",23,"saltmarshes",0,0,0,0,NA,NA,NA
