"Name","pixel_counts","ID","area_km2","percent_protected"
"ColdCorals_Pt_v5_with_All_mpas",2792,1,2792,24.3928009785078
"ColdCorals_Pt_v5_with_Managed_mpas",1275,1,1275,11.1392626244976
"ColdCorals_Pt_v5_with_No_take_mpas",239,1,239,2.08806569980779
"ColdCorals_Pt_v5",11446,1,11446,100
"CoralReef2018_Py_v4_with_All_mpas",61661,2,61661,41.0020946237989
"CoralReef2018_Py_v4_with_Managed_mpas",8623,2,8623,5.73394952954084
"CoralReef2018_Py_v4_with_No_take_mpas",11505,2,11505,7.65036406556505
"CoralReef2018_Py_v4",150385,2,150385,100
"Mangroves_v2_with_All_mpas",55587,3,55587,40.7421794834208
"Mangroves_v2_with_Managed_mpas",13891,3,13891,10.1813304406462
"Mangroves_v2_with_No_take_mpas",2464,3,2464,1.80597496261984
"Mangroves_v2",136436,3,136436,100
"Saltmarshes_Py_v6_with_All_mpas",22470,4,22470,41.1855273287144
"Saltmarshes_Py_v6_with_Managed_mpas",7948,4,7948,14.567982697313
"Saltmarshes_Py_v6_with_No_take_mpas",98,4,98,0.179625352835515
"Saltmarshes_Py_v6",54558,4,54558,100
"Seagrasses-Py-v7_with_All_mpas",70937,5,70937,22.4804309935034
"Seagrasses-Py-v7_with_Managed_mpas",22974,5,22974,7.28062113769609
"Seagrasses-Py-v7_with_No_take_mpas",4962,5,4962,1.57249247345904
"Seagrasses-Py-v7",315550,5,315550,100
